Date,Open,High,Low,Close
16-Oct-17,2242.51,2258.54,2235.77,2238.85
17-Oct-17,2237.78,2250.93,2234.75,2242.72
18-Oct-17,2243.71,2276.82,2241.33,2269.89
19-Oct-17,2276.44,2277.1,2244.1,2253.22
23-Oct-17,2257.12,2276.43,2248.41,2272.31
24-Oct-17,2280.06,2305.53,2276.32,2301.47
25-Oct-17,2306.3,2334.5,2305.01,2327.85
26-Oct-17,2328.69,2345.55,2312.23,2338.26
27-Oct-17,2341.75,2361.38,2335.49,2340.08
30-Oct-17,2346.46,2362.93,2345.82,2352.31
31-Oct-17,2358.69,2380.65,2345.31,2349.2
01-Nov-17,2352.18,2365.96,2341.2,2347.37
02-Nov-17,2351.14,2361.77,2339.11,2355.42
03-Nov-17,2372.43,2373.76,2340.35,2347.12
06-Nov-17,2340.44,2351.84,2329.14,2333.32
07-Nov-17,2341.17,2351.92,2285.34,2291.18
08-Nov-17,2297.62,2300.19,2269.7,2274.65
09-Nov-17,2279.63,2294.01,2267.55,2288.79
10-Nov-17,2299.23,2306.39,2275.69,2291.08
13-Nov-17,2295.01,2300.32,2272.23,2274.74
14-Nov-17,2277.56,2288.96,2256.34,2260.71
15-Nov-17,2258.69,2259.81,2214.52,2225.64
16-Nov-17,2236.28,2262.81,2221.35,2255.11
17-Nov-17,2263.76,2281.14,2258.24,2271.83
20-Nov-17,2273.84,2297.73,2269.89,2293.66
21-Nov-17,2297.93,2321.11,2288.85,2306.39
22-Nov-17,2312.51,2317.35,2296.39,2305.19
23-Nov-17,2309.46,2318.63,2298.05,2312.48
24-Nov-17,2315.33,2329.13,2309.95,2326.03
27-Nov-17,2329.53,2357.65,2312.53,2354.52
28-Nov-17,2357.19,2357.36,2334.33,2346
29-Nov-17,2349.41,2353.34,2334.62,2340.07
30-Nov-17,2337.36,2337.36,2315.84,2320.68
01-Dec-17,2330.18,2336.11,2282.77,2288.7
04-Dec-17,2296.4,2303.07,2268.52,2279.33
05-Dec-17,2267.4,2268.49,2245.5,2255.25
06-Dec-17,2253.91,2259.89,2230.88,2234.82
07-Dec-17,2237.08,2288.38,2236.77,2282.31
